claim_id,date,claim_product_line,claim_product,client_segment,client_location,client_sex,client_age,body,label
0,2016/1/1,Tea,lemon tea,Not Member,Manhattan,Male,20,The straw was peeled off from the juice pack.,package_container
1,2016/1/2,Ice cream,vanilla ice cream,Silver Card Member,Queens,Female,20,"I got some ice cream for my children, but there was something like a piece of thread inside the cup.",contamination_tampering
2,2016/1/2,Jelly,apple jelly,Silver Card Member,Brooklyn,Male,40,I could only find 11 cups in the 12-pack.,amount.shortage
3,2016/1/2,Juice,orange juice,Silver Card Member,Bronx,Female,50,There was a stain on the package that seemed to be caused by a leak. Is it safe to drink?,package_container.leak
4,2016/1/3,Chocolate,milk chocolate,Silver Card Member,Manhattan,Male,30,I love the ads for the new milk chocolate. Could you tell me the name of the actor in the commercial?,ads
5,2016/1/3,Ice cream,vanilla ice cream,Silver Card Member,Bronx,Female,20,The cup looked like it was already opened. Is it safe?,prank
6,2016/1/3,Ice cream,chocolate ice cream,Silver Card Member,Manhattan,Male,40,It was a little more sour than when I ate it before.,other
7,2016/1/4,Jelly,mint jelly,Golden Card Member,Queens,Female,20, I could only find 10 cups in the dozen pack.,amount.shortage
8,2016/1/4,Juice,orange juice,Golden Card Member,Brooklyn,Male,20,Leaking (from the hole for the straw),package_container
9,2016/1/5,Pastry,pastry,Silver Card Member,Queens,Female,30,"It is before the expiration date, but the pastry was moldy. Isn't this a problem?",change_of_properties
10,2016/1/5,Muffin,muffin,Silver Card Member,Manhattan,Male,30,"I bought muffins for my children, but when I checked carefully, the bag looked like it was already opened.",prank
11,2016/1/7,Ice cream,vanilla ice cream,Not Member,Bronx,Female,40,"The expiration date for the ice cream was passed, but is it okay to eat?",expiration_date
12,2016/1/7,Chocolate,chocolate,Silver Card Member,Manhattan,Male,50,"In a dozen-pack of chocolate, I could only find 9 pieces.",amount.shortage
13,2016/1/8,Ice cream,vanilla ice cream,Silver Card Member,Queens,Female,60,"I frequently buy vanilla ice cream from ABCDE confectionery company, but this time there were one cup missing from the half dozen pack.",amount.shortage
14,2016/1/8,Ice cream,chocolate ice cream,Silver Card Member,Brooklyn,Male,70,The inside of the cup was dirty.,package_container.dirt
15,2016/1/8,Minerals,minerals,Silver Card Member,Bronx,Female,40,Don't you think the bottle is bigger than it needs to be? It seems like such a waste.,package_container
16,2016/1/8,Pastry,pastry,Silver Card Member,Manhattan,Male,20,"I bought pastry at my local store yesterday, but it tasted sour. The date hasn't expired yet.",other
17,2016/1/9,Jelly,mint jelly,Silver Card Member,Bronx,Female,50,I frequently buy jelly made by ABCDE confectionery company. Could you please tell me what additives you are using?,ingredient.additives
18,2016/1/10,Juice,orange juice,Golden Card Member,Manhattan,Male,30,I found a dark clump in the bottle.,package_container
19,2016/1/10,Chocolate,chocolate muffin,Golden Card Member,Queens,Female,30,The bag was already torn. Is it okay to eat?,package_container.torn
20,2016/1/10,Jelly,mint jelly,Silver Card Member,Brooklyn,Male,40,I felt that there was a sour taste. Is it just me?,other
21,2016/1/11,Jelly,mint jelly,Silver Card Member,Bronx,Female,50,"I bought some mint jelly, but it was empty inside.",amount.empty
22,2016/1/11,Ice cream,chocolate ice cream,Not Member,Manhattan,Male,50,I have a milk allergy. Is this safe to eat?,ingredient.allergy
23,2016/1/11,Pastry,pastry,Silver Card Member,Bronx,Female,60,Do you use soy beans as an ingredient?,other
24,2016/1/11,Jelly,mint jelly,Silver Card Member,Manhattan,Male,60,There were only 10 cups in the dozen pack.,amount.shortage
25,2016/1/11,Juice,orange juice,Silver Card Member,Queens,Female,20,Orange juice leaked from the top.,package_container.leak
26,2016/1/11,Minerals,minerals,Silver Card Member,Brooklyn,Male,20, I wish that you could see through the bottle to know how much is left.,package_container
27,2016/1/12,Minerals,minerals,Silver Card Member,Bronx,Female,50,I can't open up the bottle since the cap is on too tight.,package_container
28,2016/1/12,Jelly,mint jelly,Silver Card Member,Manhattan,Male,60,"I bought jelly yesterday, but it had a sour odor. Should I bring it back to the store?",other
29,2016/1/13,Ice cream,vanilla ice cream,Golden Card Member,Manhattan,Female,70,Is this safe to eat? My wife is allergic to milk.,ingredient.allergy
30,2016/1/13,Ice cream,vanilla ice cream,Golden Card Member,Manhattan,Male,20,It tasted a bit more sour than when I had it the last time.,other
31,2016/1/14,Jelly,fruit jelly,Silver Card Member,Queens,Female,30,"I bought fruit jelly, but the cup was already torn.",package_container.torn
32,2016/1/14,Cookie,cookie,Silver Card Member,Brooklyn,Male,40,Are you going to lower the price of the cookies again?,price.lowing_price
33,2016/1/15,N/A,N/A,Silver Card Member,Bronx,Female,20,I liked the old ads for jelly better.,ads
34,2016/1/15,Pastry,pastry,Not Member,Manhattan,Male,50,I realized that after I bought pastry that it was expired. The store where I bought it is the PQRST supermarket on I-123.,expiration_date
35,2016/1/15,Juice,orange juice,Silver Card Member,Bronx,Female,30,Some juice leaked from the top of the pack.,package_container.leak
36,2016/1/15,Juice,orange juice,Silver Card Member,Manhattan,Male,30,The straw was separated from the container.,package_container
37,2016/1/16,Pastry,pastry,Silver Card Member,Queens,Female,30,This is my first time calling. I could only find 9 pieces of bread in the 10-pack.,amount.shortage
38,2016/1/16,Ice cream,vanilla ice cream,Silver Card Member,Brooklyn,Male,40," When I checked carefully, there was a deep cut in the inside of the cup.",package_container.torn
39,2016/1/16,Juice,orange juice,Silver Card Member,Bronx,Female,30,This is my first time calling. There was some juice leaking from the top of the juice pack.,package_container.leak
40,2016/1/17,Chocolate,chocolate,Silver Card Member,Manhattan,Male,50,There was something like a piece of thread inside the bag of mint chocolate.,contamination_tampering
41,2016/1/17,Juice,orange juice,Golden Card Member,Bronx,Female,40,There was some juice leaking from the top of the juice pack.,package_container.leak
42,2016/1/18,Chocolate,chocolate,Golden Card Member,Manhattan,Male,60,I found some hair inside the bag of chocolate.,contamination_tampering
43,2016/1/18,Pastry,pastry,Silver Card Member,Queens,Female,40,There was nothing inside.,amount.empty
44,2016/1/18,Ice cream,chocolate ice cream,Silver Card Member,Brooklyn,Male,40, Two cups of ice cream missing from a half-dozen-pack.,amount.shortage
45,2016/1/18,Juice,orange juice,Not Member,Bronx,Female,40, Some juice leaked from the top of the juice pack.,package_container.leak
46,2016/1/18,Muffin,muffin,Silver Card Member,Manhattan,Male,70,The price of your muffin are more expensive than other brands.,price.price_general
47,2016/1/19,Juice,orange juice,Silver Card Member,Bronx,Female,40,"I like to buy juice from ABCDE confectionery company, but this time I found some clump at the bottom of the bottle.",package_container
48,2016/1/19,Jelly,mint jelly,Silver Card Member,Manhattan,Male,20,There was a deep cut in the inside of the container.,package_container.torn
49,2016/1/20,Chocolate,chocolate,Silver Card Member,Queens,Female,50," I got some chocolate, but there was more in the package than it said on the label.",amount.excess
50,2016/1/21,Juice,pine juice,Silver Card Member,Queens,Male,20,There is a chunk of settlement at the bottom of the juice bottle. I would like it exchanged.,package_container
51,2016/1/21,Ice cream,vanilla ice cream,Silver Card Member,Bronx,Female,20, There was something that looked like a nail inside the cup of ice cream. Is this a prank?,contamination_tampering
52,2016/1/23,Jelly,fruit jelly,Golden Card Member,Manhattan,Male,30,The inside of the container was a cloudy yellow.,change_of_properties
53,2016/1/23,Jelly,fruit jelly,Golden Card Member,Bronx,Female,20, Nothing inside.,amount.empty
54,2016/1/24,Juice,apple juice,Silver Card Member,Queens,Male,40,"I got orange juice at my local supermarket, but there is a chunk of settlement at the bottom of the juice bottle.",package_container
55,2016/1/24,Pastry,pastry,Silver Card Member,Queens,Female,50,"I often buy pastry, but this time there were one piece missing from the 10-pack.",amount.shortage
56,2016/1/25,Ice cream,vanilla ice cream,Not Member,Manhattan,Male,20,Is this safe to eat? The doctor said I was allergic to eggs.,ingredient.allergy
57,2016/1/25,Juice,orange juice,Silver Card Member,Bronx,Female,50,Some juice is leaking. (the hole for the straw),package_container
58,2016/1/26,Muffin,muffin,Silver Card Member,Manhattan,Male,30,My daughter is allergic to soy. Do you use soy beans?,ingredient.allergy
59,2016/1/26,Chocolate,chocolate muffin,Silver Card Member,Bronx,Female,60,I am a first-time caller. I could only find 9 muffins in the dozen-pack.,amount.shortage
60,2016/1/27,Juice,apple juice,Silver Card Member,Manhattan,Male,60,There was a stain on the package that seemed to be caused by a leak.,package_container.leak
61,2016/1/27,Juice,apple juice,Silver Card Member,Queens,Female,70,"I purchased apple juice at my local PQRST supermarket yesterday, but some juice leaked from the bottom of the juice pack.",package_container.leak
62,2016/1/27,Ice cream,vanilla ice cream,Silver Card Member,Brooklyn,Male,30,The taste is little bit sour. Is it safe to eat?,other
63,2016/1/28,Muffin,muffin,Golden Card Member,Bronx,Female,70,My daughter is allergic to buckwheat. Do you use buckwheat?,ingredient.allergy
64,2016/1/28,Juice,orange juice,Golden Card Member,Manhattan,Male,40, There is a trace of a leak on the outside of the package.,package_container.leak
65,2016/1/28,Chocolate,chocolate muffin,Silver Card Member,Bronx,Female,20,"I bought the chocolate muffin yesterday, but it had a sour odor. Is it safe?",other
66,2016/1/30,Ice cream,vanilla ice cream,Silver Card Member,Manhattan,Male,40,"I bought some ice cream the other day. The expiration date was passed, but is it safe to eat?",expiration_date
67,2016/1/30,Juice,apple juice,Not Member,Queens,Female,40,The contents were leaking from the bottom of the juice pack.,package_container.leak
68,2016/1/30,Juice,apple juice,Silver Card Member,Brooklyn,Male,50,"I bought pine juice for my daughter, but when I was holding an unopened pack, the contents leaked from the top. Is it safe?",package_container.leak
69,2016/1/30,Jelly,fruit jelly,Silver Card Member,Bronx,Female,30,It was a little more sour than when I ate it before.,other
70,2016/1/31,Juice,orange juice,Silver Card Member,Manhattan,Male,20, Some juice leaked from the top.,package_container.leak
71,2016/1/31,Pastry,pastry,Silver Card Member,Bronx,Female,40,"When I checked carefully, it seemed that the bag was already opened.",prank
72,2016/2/1,Jelly,fruit jelly,Silver Card Member,Manhattan,Male,50,I found a deep bruise in the inside of the container.,package_container.torn
73,2016/2/1,Tea,lemon tea,Silver Card Member,Queens,Female,30, the straw was peeled off from the container.,package_container
74,2016/2/2,Pastry,pastry,Golden Card Member,Brooklyn,Male,60,"In a 10-pack of pastry, I could only find 9 pieces.",amount.shortage
75,2016/2/2,Cookie,cookie,Golden Card Member,Bronx,Female,50,You lowered the price on cookies for a limited time. Are you going to lower the price again?,price.lowing_price
76,2016/2/3,Ice cream,chocolate ice cream,Silver Card Member,Queens,Male,70,There was a strong moldy smell.,change_of_properties
77,2016/2/4,Tea,lemon tea,Silver Card Member,Bronx,Female,20,There was some tea leaking from the top of the pack.,package_container.leak
78,2016/2/4,Juice,pine juice,Silver Card Member,Manhattan,Male,40,The straw was peeled off from the pack.,package_container
79,2016/2/4,Pastry,pastry,Silver Card Member,Queens,Female,50,"I bought some pastry, but there was a pungent odor as soon as I opened the bag. I buy it a lot, but it usually doesn't smell. Should I bring it back to the store?",other
80,2016/2/5,Jelly,fruit jelly,Silver Card Member,Brooklyn,Male,20,There was some hair inside the bag of jelly.,contamination_tampering
81,2016/2/5,Jelly,fruit jelly,Silver Card Member,Bronx,Female,30,"I bought jelly for my daughter, but there was a lot more that was indicated on the package. Isn't this a problem?",amount.excess
82,2016/2/5,Juice,orange juice,Golden Card Member,Manhattan,Male,30,"I bought orange juice at my local PQRST supermarket yesterday, but the contents were leaking from the top of the paper pack.",package_container.leak
83,2016/2/6,Pastry,pastry,Golden Card Member,Bronx,Female,50,My baby is allergic to soy beans. Do you use soy?,ingredient.allergy
84,2016/2/6,N/A,N/A,N/A,N/A,N/A,N/A,Crank call.,other
85,2016/2/6,Juice,apple juice,Not Member,Manhattan,Female,30,There was some juice leaking from the bottom of the juice pack. Is it safe?,package_container.leak
86,2016/2/7,Ice cream,vanilla ice cream,Silver Card Member,Manhattan,Male,40,My children are allergic to milk. Is this safe to eat?,ingredient.allergy
87,2016/2/7,Juice,pine juice,Silver Card Member,Brooklyn,Female,60,The straw was peeled off from the container.,package_container
88,2016/2/8,Chocolate,chocolate,Silver Card Member,Bronx,Male,50,Hair inside the bag!,contamination_tampering
89,2016/2/8,Jelly,fruit jelly,Silver Card Member,Manhattan,Female,60,"I bought jelly for my daughter, but there was a lot more that was indicated on the package. Isn't this a problem?",amount.excess
90,2016/2/8,Ice cream,chocolate ice cream,Silver Card Member,Bronx,Male,20,I felt that there was a bitter taste. Is it just me?,other
91,2016/2/9,Juice,pine juice,Silver Card Member,Manhattan,Female,40,"I bought orange juice for my children and left the pack in the fridge for about two days without opening the lid, but the contents were leaking from the bottom of the pack.",package_container.leak
92,2016/2/9,Coffee,black coffee,Golden Card Member,Queens,Male,40, There was a stain on the package that seemed to be caused by a leak. Is it safe to drink?,package_container.leak
93,2016/2/11,Juice,orange juice (bottle),Golden Card Member,Brooklyn,Female,70,There was a pungent odor as soon as I opened the bottle.,package_container
94,2016/2/12,Chocolate,milk chocolate,Silver Card Member,Manhattan,Male,30, I love the ads for the new milk chocolate!,ads
95,2016/2/12,Ice cream,chocolate ice cream,Silver Card Member,Manhattan,Female,60, Why is it that the ice cream prices of other brands are cheaper?,price.price_general
96,2016/2/13,Ice cream,vanilla ice cream,Golden Card Member,Bronx,Male,40,There was something like a piece of thread inside the cup of ice cream.,contamination_tampering
97,2016/2/13,Juice,pine juice,Silver Card Member,Manhattan,Female,20,There was no straw attached to the drink.,package_container
98,2016/2/13,N/A,N/A,Golden Card Member,Queens,Male,30, Please make the drinks cheaper.,price.price_general
99,2016/2/14,Juice,apple juice,Silver Card Member,Brooklyn,Female,40,There was a yellow clump in the bottle. I have saved the bottle without drinking it.,package_container
100,2016/2/14,Pastry,pastry,Golden Card Member,Bronx,Male,50,I like to buy pastry made by ABCDE confectionery company. Sometimes there is almost no jam at all.,amount.shortage
101,2016/2/14,Juice,orange juice,Silver Card Member,Manhattan,Female,50,"I bought apple juice for my son, but the contents were leaking from the bottom of the juice pack. Is it safe to drink?",package_container.leak
